label	code	symbol
豐祥-KY	5288	5288.TW
華懋	5292	5292.TW
桂盟	5306	5306.TW
中磊	5388	5388.TW
崇越	5434	5434.TW
瀚宇博	5469	5469.TW
松翰	5471	5471.TW
慧友	5484	5484.TW
建國	5515	5515.TW
隆大	5519	5519.TW
工信	5521	5521.TW
遠雄	5522	5522.TW
順天	5525	5525.TW
鄉林	5531	5531.TW
皇鼎	5533	5533.TW
長虹	5534	5534.TW
東明-KY	5538	5538.TW
永固-KY	5546	5546.TW
遠雄港	5607	5607.TW
四維航	5608	5608.TW
鳳凰	5706	5706.TW
中租-KY	5871	5871.TW
上海商銀	5876	5876.TW
合庫金	5880	5880.TW
台南-KY	5906	5906.TW
大洋-KY	5907	5907.TW
群益證	6005	6005.TW
群益期	6024	6024.TW
競國	6108	6108.TW
邁達特	6112	6112.TW
鎰勝	6115	6115.TW
彩晶	6116	6116.TW
迎廣	6117	6117.TW
達運	6120	6120.TW
上福	6128	6128.TW
金橋	6133	6133.TW
富爾特	6136	6136.TW
亞翔	6139	6139.TW
柏承	6141	6141.TW
友勁	6142	6142.TW
百一	6152	6152.TW
嘉聯益	6153	6153.TW
鈞寶	6155	6155.TW
華興	6164	6164.TW
浪凡	6165	6165.TW
凌華	6166	6166.TW
宏齊	6168	6168.TW
瑞儀	6176	6176.TW
達麗	6177	6177.TW
關貿	6183	6183.TW
大豐電	6184	6184.TW
豐藝	6189	6189.TW
精成科	6191	6191.TW
巨路	6192	6192.TW
帆宣	6196	6196.TW
佳必琪	6197	6197.TW
亞弘電	6201	6201.TW
盛群	6202	6202.TW
詮欣	6205	6205.TW
飛捷	6206	6206.TW
今國光	6209	6209.TW
聯茂	6213	6213.TW
精誠	6214	6214.TW
和椿	6215	6215.TW
居易	6216	6216.TW
聚鼎	6224	6224.TW
天瀚	6225	6225.TW
光鼎	6226	6226.TW
尼得科超眾	6230	6230.TW
華孚	6235	6235.TW
力成	6239	6239.TW
迅杰	6243	6243.TW
矽格	6257	6257.TW
台郡	6269	6269.TW
同欣電	6271	6271.TW
驊陞	6272	6272.TW
宏正	6277	6277.TW
台表科	6278	6278.TW
全國電	6281	6281.TW
康舒	6282	6282.TW
淳安	6283	6283.TW
啟碁	6285	6285.TW
悅城	6405	6405.TW
旭隼	6409	6409.TW
群電	6412	6412.TW
樺漢	6414	6414.TW
矽力*-KY	6415	6415.TW
瑞祺電通	6416	6416.TW
統新	6426	6426.TW
光麗-KY	6431	6431.TW
迅得	6438	6438.TW
光聖	6442	6442.TW
元晶	6443	6443.TW
藥華藥	6446	6446.TW
鈺邦	6449	6449.TW
訊芯-KY	6451	6451.TW
GIS-KY	6456	6456.TW
台數科	6464	6464.TW
保瑞	6472	6472.TW
安集	6477	6477.TW
晶碩	6491	6491.TW
南六	6504	6504.TW
台塑化	6505	6505.TW
穎崴	6515	6515.TW
捷敏-KY	6525	6525.TW
達發	6526	6526.TW
愛普*	6531	6531.TW
晶心科	6533	6533.TW
正瀚-創	6534	6534.TW
泰福-KY	6541	6541.TW
北極星藥業-KY	6550	6550.TW
易華電	6552	6552.TW
興能高	6558	6558.TW
虹揚-KY	6573	6573.TW
研揚	6579	6579.TW
鋼聯	6581	6581.TW
申豐	6582	6582.TW
鼎基	6585	6585.TW
台康生技	6589	6589.TW
動力-KY	6591	6591.TW
和潤企業	6592	6592.TW
ABC-KY	6598	6598.TW
帝寶	6605	6605.TW
建德工業	6606	6606.TW
資拓宏宇	6614	6614.TW
必應	6625	6625.TW
基士德-KY	6641	6641.TW
金萬林-創	6645	6645.TW
科定	6655	6655.TW
華安	6657	6657.TW
聯策	6658	6658.TW
羅麗芬-KY	6666	6666.TW
中揚光	6668	6668.TW
緯穎	6669	6669.TW
復盛應用	6670	6670.TW
三能-KY	6671	6671.TW
騰輝電子-KY	6672	6672.TW
鋐寶科技	6674	6674.TW
伊雲谷	6689	6689.TW
洋基工程	6691	6691.TW
芯鼎	6695	6695.TW
旭暉應材	6698	6698.TW
惠特	6706	6706.TW
嘉基	6715	6715.TW
力智	6719	6719.TW
輝創	6722	6722.TW
澤米	6742	6742.TW
安普新	6743	6743.TW
龍德造船	6753	6753.TW
匯僑設計	6754	6754.TW
威鋒電子	6756	6756.TW
台灣虎航	6757	6757.TW
志強-KY	6768	6768.TW
力積電	6770	6770.TW
平和環保-創	6771	6771.TW
展碁國際	6776	6776.TW
AES-KY	6781	6781.TW
視陽	6782	6782.TW
采鈺	6789	6789.TW
永豐實	6790	6790.TW
詠業	6792	6792.TW
向榮生技	6794	6794.TW
晉弘	6796	6796.TW
來頡	6799	6799.TW
富世達	6805	6805.TW
森崴能源	6806	6806.TW
峰源-KY	6807	6807.TW
汎銓	6830	6830.TW
邁科	6831	6831.TW
天二科技	6834	6834.TW
圓裕	6835	6835.TW
台新藥	6838	6838.TW
錼創科技-KY創	6854	6854.TW
睿生光電	6861	6861.TW
三集瑞-KY	6862	6862.TW
永道-KY	6863	6863.TW
雲豹能源	6869	6869.TW
泓德能源	6873	6873.TW
全福生技	6885	6885.TW
寶綠特-KY	6887	6887.TW
來億-KY	6890	6890.TW
鑽石投資	6901	6901.TW
GOGOLOOK	6902	6902.TW
現觀科	6906	6906.TW
創控	6909	6909.TW
阜爾運通	6914	6914.TW
華凌	6916	6916.TW
愛派司	6918	6918.TW
康霈*	6919	6919.TW
嘉雨思-創	6921	6921.TW
中台	6923	6923.TW
榮惠-KY創	6924	6924.TW
攸泰科技	6928	6928.TW
青松健康	6931	6931.TW
AMAX-KY	6933	6933.TW
心誠鎂	6934	6934.TW
永鴻生技	6936	6936.TW
天虹	6937	6937.TW
兆聯實業	6944	6944.TW
沛爾生醫-創	6949	6949.TW
青新-創	6951	6951.TW
大武山	6952	6952.TW
邦睿生技-創	6955	6955.TW
裕慶-KY	6957	6957.TW
日盛台駿	6958	6958.TW
奕力-KY	6962	6962.TW
中傑-KY	6965	6965.TW
成信實業*-創	6969	6969.TW
威力暘-創	6988	6988.TW
富威電力	6994	6994.TW
聯友金屬-創	7610	7610.TW
聚賢研發-創	7631	7631.TW
三商餐飲	7705	7705.TW
永擎	7711	7711.TW
微程式	7721	7721.TW
LINEPAY	7722	7722.TW
暉盛-創	7730	7730.TW
金興精密	7732	7732.TW
虎山	7736	7736.TW
熙特爾-創	7740	7740.TW
意騰-KY	7749	7749.TW
新代	7750	7750.TW
中華資安	7765	7765.TW
鴻勁	7769	7769.TW
大研生醫*	7780	7780.TW
東方風能	7786	7786.TW
松川精密	7788	7788.TW
皇家可口	7791	7791.TW
長廣	7795	7795.TW
禾榮科	7799	7799.TW
奧義賽博-KY創	7823	7823.TW
台通	8011	8011.TW
矽創	8016	8016.TW
尖點	8021	8021.TW
昇陽半導體	8028	8028.TW
雷虎	8033	8033.TW
台虹	8039	8039.TW
達運光電	8045	8045.TW
南電	8046	8046.TW
長華*	8070	8070.TW
陞泰	8072	8072.TW
致新	8081	8081.TW
華冠	8101	8101.TW
瀚荃	8103	8103.TW
錸寶	8104	8104.TW
凌巨	8105	8105.TW
華東	8110	8110.TW
至上	8112	8112.TW
振樺電	8114	8114.TW
福懋科	8131	8131.TW
南茂	8150	8150.TW
微矽電子-創	8162	8162.TW
達方	8163	8163.TW
無敵	8201	8201.TW
勤誠	8210	8210.TW
志超	8213	8213.TW
明基材	8215	8215.TW
寶一	8222	8222.TW
菱光	8249	8249.TW
富鼎	8261	8261.TW
宇瞻	8271	8271.TW
日友	8341	8341.TW
建新國際	8367	8367.TW
羅昇	8374	8374.TW
百和興業-KY	8404	8404.TW
福貞-KY	8411	8411.TW
可寧衛*	8422	8422.TW
金麗-KY	8429	8429.TW
昶昕	8438	8438.TW
威宏-KY	8442	8442.TW
阿瘦	8443	8443.TW
富邦媒	8454	8454.TW
柏文	8462	8462.TW
潤泰材	8463	8463.TW
億豐	8464	8464.TW
美吉吉-KY	8466	8466.TW
波力-KY	8467	8467.TW
山林水	8473	8473.TW
台境*	8476	8476.TW
東哥遊艇	8478	8478.TW
政伸	8481	8481.TW
商億-KY	8482	8482.TW
愛爾達-創	8487	8487.TW
吉源-KY	8488	8488.TW
鼎炫-KY	8499	8499.TW
台汽電	8926	8926.TW
新天地	8940	8940.TW
高力	8996	8996.TW
美德醫療-DR	9103	9103.TW
康師傅-DR	910322	910322.TW
泰金寶-DR	9105	9105.TW
神州-DR	910861	910861.TW
越南控-DR	9110	9110.TW
明輝-DR	911608	911608.TW
泰聚亨-DR	911622	911622.TW
同方友友-DR	911868	911868.TW
晨訊科-DR	912000	912000.TW
巨騰-DR	9136	9136.TW
鈺齊-KY	9802	9802.TW
台火	9902	9902.TW
寶成	9904	9904.TW
大華	9905	9905.TW
欣巴巴	9906	9906.TW
統一實	9907	9907.TW
大台北	9908	9908.TW
豐泰	9910	9910.TW
櫻花	9911	9911.TW
偉聯	9912	9912.TW
美利達	9914	9914.TW
中保科	9917	9917.TW
欣天然	9918	9918.TW
康那香	9919	9919.TW
巨大	9921	9921.TW
福興	9924	9924.TW
新保	9925	9925.TW
新海	9926	9926.TW
泰銘	9927	9927.TW
中視	9928	9928.TW
秋雨	9929	9929.TW
中聯資源	9930	9930.TW
欣高	9931	9931.TW
中鼎	9933	9933.TW
成霖	9934	9934.TW
慶豐富	9935	9935.TW
全國	9937	9937.TW
百和	9938	9938.TW
宏全	9939	9939.TW
